application_id,fraud_category
AS202526000099463,income
AS202526000036165,income
BR202526000041883,income
OR202526000108765,income
AS202526000124909,income
BR202526000090102,income
HP202526000168173,income
KA202526000155395,income
MN202526000186017,income
PB202526000226516,income
AS202526000080793,income
BR202526000062084,income
AS202526000225596,income
BR202526000052548,income
TN202526000060666,income
AS202526000225958,income
AS202526000151687,income
MN202526000118983,income
TS202526000063790,income
GJ202526000082042,income
KA202526001166625,income
BR202526000022214,income
MN202526000096969,income
BR202526000205882,income
BR202526000014534,income
MN202526000187177,income
MH202526000090364,income
AS202526000116318,income
AS202526000235035,income
HP202526000147216,income
SK202526000020836,income
BR202526000177716,income
HP202526000157240,income
AS202526000188336,income
MH202526000003660,income
MP202526000130745,income
AP202526000192667,income
WB202526000385895,income
BR202526000036713,income
AS202526000130773,income
UP202526000101404,income
AP202526000042800,income
AS202526000195201,income
WB202526000081662,income
KL202526000124272,income
AS202526000194498,income
CT202526000205003,income
AS202526000147930,income
GJ202526000149665,income
AS202526000134877,income
HP202526000119289,income
BR202526000201168,income
MN202526000219552,income
HR202526000234748,income
AS202526000180341,income
AS202526000204303,income
OR202526001128653,income
AS202526000156799,income
AS202526000219231,income
UP202526000114690,income
MH202526000158742,income
NL202526000133571,income
AS202526000127080,income
AS202526000102735,income
HR202526000143926,income
GJ202526000106438,income
RJ202526000185726,income
AS202526000191308,mobile
WB202526000163178,mobile
KA202526000108003,mobile
BR202526000111494,mobile
MH202526000226286,mobile
BR202526000094516,mobile
KA202526000048942,mobile
MH202526000111744,mobile
AS202526000058861,mobile
RJ202526000228801,mobile
AS202526000200591,mobile
AS202526000226337,mobile
BR202526000114231,mobile
TS202526001481106,mobile
WB202526000601177,mobile
DD202526000189257,mobile
BR202526000101105,mobile
AS202526000183999,mobile
AS202526000019462,mobile
AS202526000081301,mobile
HP202526000167315,mobile
AP202526000188677,mobile
AS202526000229190,mobile
UT202526000138082,mobile
BR202526000229944,mobile
AS202526000211425,mobile
AS202526000197097,mobile
AS202526000130536,mobile
WB202526000064968,mobile
OR202526000213680,mobile
AS202526000208617,mobile
UP202526000131538,mobile
KL202526000227201,mobile
TR202526000096632,mobile
TS202526001401055,mobile
KA202526000073739,mobile
KA202526000052492,mobile
AP202526000122179,mobile
TN202526000082437,mobile
MN202526000207253,mobile
GJ202526000147710,mobile
HR202526000132455,mobile
WB202526000052828,mobile
AS202526000073405,mobile
BR202526000218643,mobile
WB202526000144303,mobile
UT202526000224860,mobile
TS202526000130244,mobile
ML202526000231515,mobile
GJ202526000095119,mobile
HP202526000179288,mobile
AS202526000140928,mobile
BR202526000193140,mobile
MN202526000187166,mobile
BR202526000166671,mobile
BR202526000238890,mobile
GJ202526000158723,mobile
AS202526000229828,mobile
UP202526000155341,mobile
BR202526000078576,mobile
AS202526000171715,mobile
WB202526000145184,mobile
BR202526000172863,mobile
BR202526000226349,mobile
BR202526000179123,mobile
UT202526000144964,mobile
BR202526000203240,mobile
TN202526000201582,mobile
TN202526000159506,mobile
AS202526000133221,mobile
TR202526000142126,mobile
AS202526000215962,mobile
HP202526000130306,mobile
BR202526000150247,mobile
BR202526000146116,mobile
UT202526000200957,mobile
BR202526000103524,mobile
BR202526000050659,mobile
HP202526000118489,mobile
AS202526000151022,mobile
OR202526000206050,mobile
BR202526000178090,mobile
AS202526000187111,mobile
BR202526000120726,mobile
TN202526000043275,mobile
BR202526000236179,mobile
KL202526000093566,mobile
AS202526000152648,mobile
BR202526000199268,mobile
BR202526000202333,mobile
JK202526000052701,mobile
AS202526000110303,mobile
MH202526000158441,mobile
UT202526000146835,mobile
AS202526000192214,mobile
AS202526000176434,mobile
AP202526000193111,mobile
BR202526000229737,mobile
GJ202526000083692,mobile
AS202526000227250,mobile
AS202526000146924,mobile
BR202526000170885,mobile
AS202526000193164,mobile
AS202526000121269,mobile
AS202526000085265,mobile
MN202526000137091,mobile
TN202526000110343,mobile
AS202526000088400,mobile
BR202526000178628,mobile
AS202526000165845,mobile
MP202526001151905,mobile
MH202526000226028,mobile
GJ202526000114253,mobile
PB202526000175588,mobile
BR202526000021412,mobile
BR202526000191836,mobile
UT202526000109012,mobile
UT202526000159339,mobile
GJ202526000074924,mobile
AS202526000103586,mobile
TS202526001060506,mobile
HP202526000164994,mobile
BR202526000111093,mobile
WB202526000023132,mobile
AS202526000093981,mobile
MH202526000147781,mobile
BR202526000068332,mobile
KA202526000119849,mobile
BR202526000039393,mobile
TS202526001193957,mobile
PB202526000229378,mobile
BR202526000180038,mobile
MP202526000044055,mobile
KA202526000353600,mobile
TS202526001475582,mobile
TR202526000060765,mobile
AS202526000166659,mobile
TS202526000170090,mobile
AS202526000150535,mobile
HP202526000180065,mobile
OR202526002467208,mobile
GJ202526000086793,mobile
AS202526000008369,mobile
AS202526000176680,mobile
HP202526000059885,mobile
AS202526000145067,mobile
AS202526000168855,mobile
BR202526000090326,mobile
KL202526000027893,mobile
MN202526000225769,mobile
AS202526000227385,mobile
TN202526000184218,mobile
TN202526000101490,mobile
BR202526000197562,mobile
ML202526000219238,mobile
AS202526000103065,mobile
KA202526000234745,mobile
AS202526000215163,mobile
MH202526000093231,mobile
MH202526000122594,mobile
AS202526000147979,mobile
TN202526000042576,mobile
AS202526000168923,mobile
AS202526000147412,mobile
BR202526000225205,mobile
BR202526000189456,mobile
BR202526000168958,mobile
NL202526000049321,mobile
KL202526000044530,mobile
AP202526000117890,mobile
AS202526000106885,mobile
BR202526000225232,mobile
ML202526000188529,mobile
BR202526000047921,mobile
WB202526000536534,mobile
AS202526000180593,mobile
KA202526000139588,mobile
AS202526000120053,mobile
HP202526000158740,mobile
BR202526000133552,mobile
RJ202526000061867,mobile
BR202526000107381,mobile
KL202526000127202,mobile
AS202526000077962,mobile
HR202526000152229,mobile
BR202526000220971,mobile
BR202526000095162,mobile
AP202526000110789,identity
AS202526000113721,identity
BR202526000203677,identity
CT202526000175795,identity
AP202526000032838,identity
AS202526000098324,identity
WB202526000147441,identity
BR202526000189531,identity
BR202526000220728,identity
PB202526000112392,identity
PB202526000119819,identity
BR202526000213535,identity
BR202526000130522,identity
AS202526000131553,identity
MH202526000073491,identity
BR202526000211762,identity
BR202526000125061,identity
AS202526000221495,identity
BR202526000211422,identity
AS202526000139125,identity
BR202526000121095,identity
AS202526000030444,identity
AP202526000028118,identity
GJ202526000088485,identity
BR202526000189842,identity
TS202526001425780,identity
AS202526000204173,identity
AS202526000228660,identity
UT202526000178668,identity
GA202526000230014,identity
AS202526000157995,identity
AN202526000168430,identity
TR202526000078418,identity
TN202526000002214,identity
HP202526000192416,identity
BR202526000141756,identity
BR202526000041381,identity
AS202526000120151,identity
BR202526000114051,identity
AS202526000113781,identity
AS202526000084114,identity
AS202526000194282,identity
HP202526000167346,identity
BR202526000202025,identity
KL202526000082245,identity
BR202526000100033,identity
WB202526000207859,identity
AS202526000073043,identity
AS202526000192178,identity
AS202526000130047,identity
BR202526000081578,identity
KA202526000235854,identity
BR202526000154564,identity
WB202526000187736,identity
AS202526000156564,identity
AS202526000078909,identity
HR202526000204864,identity
AS202526000044726,identity
BR202526000131622,identity
BR202526000069826,identity
AP202526000239875,identity
MP202526000145472,identity
PB202526000122607,identity
TS202526001762411,identity
MH202526001158966,identity
MN202526000197910,identity
HP202526000118853,identity
ML202526000172051,identity
AS202526000121187,identity
AS202526000155230,identity
AS202526000144122,identity
BR202526000087737,identity
GJ202526000231158,identity
BR202526000121741,identity
GJ202526000101633,identity
MN202526000121705,identity
AS202526000167118,identity
GJ202526000227272,identity
AS202526000074876,identity
PB202526000128629,identity
AS202526000144736,identity
AS202526000007102,identity
WB202526000195661,identity
CT202526000183983,identity
AS202526000089983,identity
BR202526000201405,identity
TS202526001421530,identity
KA202526000025464,identity
WB202526000019285,identity
AS202526000098708,identity
TS202526000084194,identity
KA202526000099620,identity
TN202526000084008,identity
AS202526000172056,identity
TS202526000125225,identity
AS202526000112255,identity
AS202526000084054,identity
TS202526001740359,identity
AS202526000109677,identity
BR202526000099476,identity
AS202526000231275,identity
AS202526000113141,identity
BR202526000159706,identity
TS202526000221296,identity
HP202526000180017,identity
UT202526000181121,identity
NL202526000181171,identity
TR202526000127021,identity
TS202526000186172,identity
BR202526000133935,identity
AS202526000081010,identity
JK202526000001308,identity
AS202526000175388,identity
KA202526000226581,identity
GJ202526000163052,identity
GJ202526000225547,identity
GJ202526000081796,identity
WB202526000134379,identity
KA202526000154921,identity
TS202526001760261,identity
AS202526000236859,identity
BR202526000066273,identity
GJ202526000157114,identity
AS202526000041591,identity
AP202526000168257,identity
MN202526000207315,identity
AS202526000182641,identity
BR202526000187508,identity
BR202526000072643,identity
MN202526000192451,identity
PB202526000168495,identity
MN202526000078132,identity
KA202526000480415,identity
BR202526000169715,identity
TS202526001425918,identity
AS202526000179688,identity
GJ202526000158153,identity
AS202526000122293,identity
AS202526000048999,identity
MN202526000081983,identity
MN202526000147063,identity
AS202526000148520,identity
HP202526000127521,identity
AS202526000096927,identity
AP202526000097834,identity
ML202526000224887,identity
BR202526000187273,identity
GJ202526000207997,identity
AS202526000178114,identity
AS202526000144675,identity
BR202526000117148,identity
AS202526000167756,identity
AS202526000201487,identity
HR202526000192009,identity
AS202526000034990,identity
WB202526000134997,identity
BR202526000226823,identity
AS202526000205409,identity
AS202526000207596,identity
MH202526000068684,identity
AS202526000203556,identity
AS202526000010277,identity
AS202526000121865,identity
WB202526000183300,identity
GJ202526000185645,identity
KL202526000157811,identity
UT202526000215659,identity
BR202526000022505,identity
AS202526000190995,identity
AS202526000201118,identity
OR202526000152540,identity
AP202526000101253,identity
KA202526000123076,identity
AS202526000163035,identity
KL202526000073463,identity
BR202526000130713,identity
AS202526000161213,identity
OR202526000234644,identity
BR202526000206584,identity
GA202526000129255,identity
AS202526000065566,identity
AS202526000200705,identity
KA202526000174892,identity
HP202526000101474,identity
BR202526000214537,identity
HR202526000165196,identity
AS202526000076106,identity
